Region,Country,NOWID,Locality.name,N,Brachydonts,Hypsodonts,Latitude,Longitude,Max.age,Min.age,Age,European.Mammal.Zone
Balkanotolia,Azerbaijan,27092,Eldari,11,5,3,41.11666667,45.8,9.88,7.1,8.49,MN11
Balkanotolia,Azerbaijan,27996,Azykh Cave,24,1,6,39.61916667,46.98861111,1.9,0.0117,0.95585,MN18
Balkanotolia,Azerbaijan,21876,Binagady,36,0,10,40.5,49.5,0.125,0.053,0.089,MN18
Balkanotolia,Georgia,20991,Natlismtsemeli I,6,1,3,41.317,45.217,10.05,8.9,9.475,MN10
Balkanotolia,Georgia,20443,Eldari I,26,8,8,41.3,45.7,9.9,8.9,9.4,MN10
Balkanotolia,Georgia,20296,Udabno I,12,3,4,41.31,45.23,9.105,8.771,8.938,MN10
Balkanotolia,Georgia,20989,Udabno II,6,2,3,41.31,45.23,9.105,8.771,8.938,MN10
Balkanotolia,Georgia,27093,Dzedzvtakhevi,10,4,2,41.68333333,45.75,9.88,7.1,8.49,MN11
Balkanotolia,Georgia,20990,Eldari II & III,3,1,2,41.3,45.7,8.9,8,8.45,MN11
Balkanotolia,Georgia,21244,Rustavi,15,5,6,41.5293601,44.8803764,8.9,7.6,8.25,MN11
Balkanotolia,Georgia,20136,Arkneti,7,3,2,42.13,43.51,8.9,7.1,8,MN11
Balkanotolia,Georgia,20140,Bazaleti,18,5,8,41.9,45,7.1,5.3,6.2,MN13
Balkanotolia,Georgia,20705,Kvabebi,21,5,8,42,46,3.55,2.5,3.025,MN16
Balkanotolia,Georgia,27094,Tsalka,8,2,4,41.575,44.08333333,3.55,1.187,2.3685,MN17
Balkanotolia,Georgia,21050,Dmanisi,28,4,7,41.33611111,44.34388889,1.85,1.778,1.814,MN18
Balkanotolia,Georgia,21835,Akhalkalaki,19,1,12,41.41952103,43.47631808,1.141,0.781,0.961,MN18
Balkanotolia,Georgia,28001,Kudaro 3 cave,19,1,4,42.29888889,44.05666667,1.9,0.0117,0.95585,MN18
Balkanotolia,Georgia,28000,Kudaro 3 cave,14,1,2,42.29888889,44.05666667,0.245,0.242,0.2435,MN18
Balkanotolia,Georgia,28003,Kudaro 3,12,1,7,42.29888889,44.05666667,0.115,0.0625,0.08875,MN18
Balkanotolia,Georgia,26687,Kudaro 3 l.2 Hol,7,0,3,42.5,43.5,0.0117,0.0039,0.0078,MN18
Balkanotolia,Georgia,26684,Shagat-Khokh-Leget,8,0,3,42.45,43,0.0117,0.0039,0.0078,MN18
