Age,Maximum,Mean,CImin,CImax
33,10,9.2337,3,10
32,10,9.0026,7,10
31,7,6.9827,5,7
30,6,5.9205,4,6
29,6,5.6824,5,6
28,5,5,5,5
27,5,5,5,5
26,11,9.2441,4,11
25,11,9.0752,4,11
24,7,6.2754,4,7
23,7,6.3599,4,7
22,NA,NA,NA,NA
21,3,3,3,3
20,3,3,3,3
19,4,3.4888,2,4
18,6,5.6574,4,6
17,13,11.1575,6,13
16,13,11.2827,7,13
15,8,7.5893,5,8
14,4,4,4,4
13,9,7.7709,4,9
12,9,7.8695,4,9
11,6,5.591,4,6
10,9,7.4762,3,9
9,9,7.9088,5,9
8,6,5.8738,3,6
7,6,5.9563,4,6
6,6,5.9502,4,6
5,3,2.99,2,3
4,5,4.9395,2,5
3,5,4.9582,2,5
2,8,7.0014,3,8
1,8,6.9104,3,8
