Age,Maximum,Mean,CImin,CImax
29,3,3,3,3
28,3,3,3,3
27,NA,NA,NA,NA
26,NA,NA,NA,NA
25,NA,NA,NA,NA
24,NA,NA,NA,NA
23,NA,NA,NA,NA
22,5,5,5,5
21,5,4.5473,3,5
20,14,10.4103,3,14
19,14,11.3548,6,14
18,13,12.1111,7,13
17,14,13.8745,9.631616344,14
16,14,13.8558,9,14
15,NA,NA,NA,NA
14,10,8.5342,4,10
13,10,8.7835,5,10
12,7,6.5039,5,7
11,3,3,3,3
10,8,6.9271,0,8
9,8,6.9691,4,8
8,4,4,4,4
7,5,4.551,2,5
6,5,4.5454,2,5
5,4,3.4898,2,4
4,5,4.988,1,5
3,5,4.9695,1,5
2,2,1.9918,0,2
1,2,1.8943,0,2
