Age,Maximum,Mean,CImin,CImax
33,9,8.1018,4,9
32,9,7.5415,4,9
31,9,8.556,4,9
30,8,7.0265,3,8
29,7,6.3244,5,7
28,7,6.3618,5,7
27,6,5.6323,3,6
26,6,5.6368,3,6
25,4,4,4,4
24,7,6.8457,3,7
23,7,6.8522,3,7
22,3,3,3,3
21,8,7.2823,6,8
20,8,7.5163,6,8
19,12,11.4603,9,12
18,12,11.4816,9,12
17,14,12.1381,8,14
16,19,17.3806,14,19
15,19,17.3648,13,19
14,11,9.376,5,11
13,11,10.736,7,11
12,11,10.7312,5,11
11,11,10.2931,9,11
10,9,8.9859,7,9
9,8,7.9666,5,8
8,9,8.8091,6,9
7,9,8.692,5,9
6,5,4.8698,4,5
5,6,5.2735,4,6
4,7,6.6108,6,7
3,7,6.6391,6,7
2,6,5.9837,4,6
1,5,4.8613,3,5
