Age,Maximum,Mean,CImin,CImax
33,9,7.8163,2,9
32,9,7.8022,2,9
31,5,4.6681,3,5
30,5,4.6584,3,5
29,NA,NA,NA,NA
28,NA,NA,NA,NA
27,10,8.213,5,10
26,10,8.1831,5,10
25,11,9.9102,0,11
24,11,10.0658,0,11
23,NA,NA,NA,NA
22,NA,NA,NA,NA
21,10,8.262,2,10
20,10,8.0872,1,10
19,3,2.3678,1,3
18,10,8.1115,4,10
17,10,8.9983,6,10
16,8,7.2402,5,8
15,7,6.1002,3,7
14,7,6.0855,1,7
13,5,4.539,0,5
12,5,4.8859,0,5
11,5,3.5235,0,5
10,4,3.0454,1,4
9,4,3.3138,1,4
8,10,7.4946,2,10
7,10,7.8811,3,10
6,6,5.3488,2,6
5,6,5.3749,2,6
4,5,3.8825,1,5
3,2,1.683,1,2
