Region,Country,NOWID,Locality.name,N,Brachydonts,Hypsodonts,Latitude,Longitude,Max.age,Min.age,Age,European.Mammal.Zone
Eastern Africa,Kenya,27695,"Lokone (Lok 1, 2, 12)",5,3,0,2.382649,35.961655,29.847,26.223,28.035,MP25
Eastern Africa,Kenya,23751,Nyanza 11 (legetet 10),20,4,0,-0.160564,35.260116,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23752,Nyanza 12 (Legetet 11),14,2,0,-0.160564,35.260116,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23754,Nyanza 14 (Legete 14),21,2,0,-0.160564,35.260116,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23760,Nyanza 20 (Legetet 29),25,2,0,-0.160564,35.260116,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23765,Nyanza 25 (Mteitei 32),11,3,0,0.011278,35.308542,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23766,Nyanza 26 (Mteitei 33),7,3,0,0.011278,35.308542,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23747,Nyanza 7 (Koru 16),9,3,0,-0.18181,35.269821,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,23749,Nyanza 9 (Koru 25),13,3,0,-0.18181,35.269821,20.677,19.5,20.0885,MN2
Eastern Africa,Kenya,29208,Meswa Bridge,10,3,0,0.137222222,35.20583333,20.6,19.5,20.05,MN2
Eastern Africa,Kenya,26812,Loperot,14,6,1,2.428017,35.88551,20.0805,16.96,18.52025,MN3
Eastern Africa,Kenya,26912,Uyoma 14 (Kiangata and Magare),4,3,0,0.2,34.33333333,20.44,15.97,18.205,MN3
Eastern Africa,Kenya,23262,Buluk (West Stephanie),13,10,2,4.257487,36.59267,18,17.2,17.6,MN3
Eastern Africa,Kenya,23859,Kalodirr,30,13,0,3.379603,35.701074,17.5,16.8,17.15,MN4
Eastern Africa,Kenya,24265,Murourot Hill,27,11,1,3.26669,35.824713,17.5,16.8,17.15,MN4
Eastern Africa,Kenya,23226,Locherangan,15,7,0,3.745009,35.612628,17.5,16.6,17.05,MN4
Eastern Africa,Kenya,23738,Karungu,6,5,0,0.833,34.15,17.2,16.4,16.8,MN4
Eastern Africa,Kenya,23740,Karungu (Nira & Kachuka),31,14,2,0.842,34.158,17.2,16.4,16.8,MN4
