Region,Country,NOWID,Locality.name,N,Brachydonts,Hypsodonts,Latitude,Longitude,Max.age,Min.age,Age,European.Mammal.Zone
Europe,Austria,21119,Oberdorf 3 (O3),38,4,0,47.07527778,15.15138889,17.2,16.4,16.8,MN4
Europe,Austria,20235,Eibiswald,7,3,1,46.687,15.247,16.4,14.2,15.3,MN5
Europe,Austria,20011,Goriach,31,11,1,47.55,15.3,16.4,14.2,15.3,MN5
Europe,Austria,22491,Grund,15,6,0,48.63805556,16.06416667,15.3,14.2,14.75,MN5
Europe,Austria,27884,St. Stefan im Lavanttal,21,3,0,47.1375,15.34861111,12.174,12.049,12.1115,MN7-8
Europe,Austria,20277,Klein Hadersdorf,7,5,1,48.6,16.6,12.85,11.2,12.025,MN7-8
Europe,Austria,21358,Mannersdorf,8,5,2,48,16.5,12.85,11.2,12.025,MN7-8
Europe,Austria,27087,Atzelsdorf,36,8,4,48.51027778,16.54416667,11.2,9.9,10.55,MN9
Europe,Austria,20454,Gaiselberg,8,3,2,48.533,16.717,11.2,9.9,10.55,MN9
Europe,Austria,20178,Mistelbach,3,2,1,48.6,16.5,11.2,9.9,10.55,MN9
Europe,Austria,20187,Oberhollabrunn,3,3,0,48.55,16.067,11.2,9.9,10.55,MN9
Europe,Austria,20437,Vösendorf,15,4,3,48.1,16.31666667,11.2,9.9,10.55,MN9
Europe,Austria,20259,Wien-Belvedere,3,3,0,48.2,16.4,11.2,8.9,10.05,MN9
Europe,Austria,20445,Stratzing,4,1,2,48.45,15.6,9.9,8.9,9.4,MN10
Europe,Austria,26402,Krems-Wachtberg,9,0,5,48.41305556,15.59361111,0.0277,0.0271,0.0274,MN18
Europe,Belgium,27648,Hoogbutsel,26,4,0,50.848,4.836,33.77,32.63,33.2,MP21
Europe,Belgium,26616,Zemst IIB,17,1,7,50.987,4.3911,0.126,0.126,0.126,MN18
Europe,Belgium,26617,Zemst IIIC,10,0,7,50.987,4.3911,0.115,0.0625,0.08875,MN18
Europe,Belgium,26998,Goyet Cave st. 4,17,0,10,50.433,5.0167,0.115,0.03625,0.075625,MN18
Europe,Belgium,26618,Hofstade I,9,0,6,50.97,4.4,0.08875,0.045,0.066875,MN18
Europe,Belgium,26619,Hofstade II,6,0,5,50.97,4.4,0.08,0.045,0.0625,MN18
Europe,Belgium,26620,Hofstade III,7,0,6,50.97,4.4,0.08,0.045,0.0625,MN18
Europe,Bulgaria,23022,Kalimanci 1,13,5,7,41.46548,23.474762,8.9,7.6,8.25,MN11
Europe,Bulgaria,24895,Kocherinovo 1,7,2,3,42,23.0833,8.9,7.6,8.25,MN11
Europe,Bulgaria,24896,Kocherinovo 2,8,3,5,42.0333,23.0833,8.9,7.6,8.25,MN11
Europe,Bulgaria,24898,Strumyani 2,14,5,6,42.8333,23.1,8.9,7.6,8.25,MN11
Europe,Bulgaria,20293,Gorna Susica,7,2,4,41.833,23.083,8.3,7.285,7.7925,MN11
Europe,Bulgaria,22557,Hadjidimovo-1,33,9,13,41.5,23.833,7.6,7.1,7.35,MN12
Europe,Bulgaria,20291,Kalimanci 2,16,3,6,41.46548,23.474762,7.6,7.1,7.35,MN12
Europe,Bulgaria,23023,Kalimanci 3,6,2,4,41.46548,23.474762,7.6,7.1,7.35,MN12
Europe,Bulgaria,23024,Kalimanci 4,8,1,5,41.46548,23.474762,7.6,7.1,7.35,MN12
Europe,Bulgaria,24342,Kalimantsi-Pehtsata,7,2,2,42.5,23.1,7.6,7.1,7.35,MN12
Europe,Bulgaria,23025,Kromidovo 1,5,1,3,41.45,23.367,7.6,7.1,7.35,MN12
Europe,Bulgaria,20292,Kromidovo 2,5,1,2,41.45,23.367,7.6,7.1,7.35,MN12
Europe,Bulgaria,24897,Strumyani 1,10,3,7,42.8333,23.0833,7.6,7.1,7.35,MN12
Europe,Bulgaria,28320,Azmaka 1-4,27,9,13,42.22343275,25.31181335,7.285,7.251,7.268,MN12
