Region,Country,NOWID,Locality.name,N,Brachydonts,Hypsodonts,Latitude,Longitude,Max.age,Min.age,Age,European.Mammal.Zone
Central Asia,Afghanistan,20640,Taghar,11,3,6,34.35,69.41666667,8.9,7.6,8.25,MN11
Central Asia,Afghanistan,20401,Molayan,24,5,7,34.3167,69.4167,7.6,7.1,7.35,MN12
Central Asia,Afghanistan,24847,Gurgemaydan,3,1,2,34.2972,69.4083,8.9,5.3,7.1,MN13
Central Asia,Afghanistan,24356,Pul-e-Charkhi,17,2,2,34.9167,69.4167,5.3,5,5.15,MN14
Central Asia,China,22888,Chaganbulage,14,9,0,39.83333333,104.6666667,33.77,32.63,33.2,MP21
Central Asia,China,22643,Erden-Obo,15,10,0,42.55,111.5,33.9,30.277,32.0885,MP22
Central Asia,China,22889,Wulanbulage-E.,22,5,0,41.133,110.933,32.63,28.82,30.725,MP23
Central Asia,China,22890,Wulanbulage-L.,21,6,0,41.133,110.933,32.63,28.82,30.725,MP23
Central Asia,China,22891,Ulantatal,34,4,1,39.1667,106.5,30.83,28.82,29.825,MP24
Central Asia,China,22899,Taben-Buluk,22,3,0,39.8333,95,28.82,23,25.91,MP26
Central Asia,China,24240,Upper-Shargaltein,22,4,0,39.75,97,28.465,23.03,25.7475,MP26
Central Asia,China,24505,Lanzhou-zhangjiaping,12,3,0,36,104,21.483,20.439,20.961,MN2
Central Asia,China,26496,Danghe-xishuigou,6,2,1,39.5,95,19.722,18.056,18.889,MN3
Central Asia,China,24524,Sihong-shuanggou,21,4,0,33.25,118.2,17.2,16.4,16.8,MN4
Central Asia,China,24525,Sihong-songlinzhuang,36,8,0,33.3,118.25,17.2,16.4,16.8,MN4
Central Asia,China,26498,Guanghe-dalanggou,9,7,1,35.46666667,103.4666667,17,15.2,16.1,MN5
Central Asia,China,20623,Shanwang,30,13,1,32.0167,116.4917,17,15.2,16.1,MN5
Central Asia,China,26477,Junggar-duolebulejin,9,4,4,46.42,87.48,15.16,13.032,14.096,MN6
Central Asia,China,27765,Tunggur- ALU,12,4,3,43.78916667,113.085,12.85,11.2,12.025,MN7-8
Central Asia,China,27752,Tunggur- DA,5,4,1,43.54277778,112.6311111,12.85,11.2,12.025,MN7-8
Central Asia,China,27763,Tunggur- HU,16,9,0,43.78916667,113.1397222,12.85,11.2,12.025,MN7-8
Central Asia,China,27756,Tunggur- MC,6,2,3,43.63888889,112.7502778,12.85,11.2,12.025,MN7-8
Central Asia,China,27761,Tunggur- MOII,38,1,2,43.74472222,112.9005556,12.85,11.2,12.025,MN7-8
Central Asia,China,27754,Tunggur- ZH,7,3,1,43.60194444,112.6836111,12.85,11.2,12.025,MN7-8
Central Asia,China,27755,Tunggur-AC,8,2,1,43.61472222,112.7169444,12.85,11.2,12.025,MN7-8
Central Asia,China,27753,Tunggur-WC,17,6,3,43.54916667,112.6619444,12.85,11.2,12.025,MN7-8
Central Asia,China,20494,Zhoukoudian 13,37,1,7,41.53530029,2.078349007,12.85,11.2,12.025,MN7-8
