Bin,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1,34,32,33,10,1
2,33,31,32,10,1
3,32,30,31,7,1
4,31,29,30,7,1
5,30,28,29,6,1
6,29,27,28,5,1
7,28,26,27,5,1
8,27,25,26,11,1
9,26,24,25,11,1
10,25,23,24,7,3
11,24,22,23,7,3
12,22,20,21,3,0
13,21,19,20,3,0
14,20,18,19,4,1
15,19,17,18,6,1
16,18,16,17,13,2
17,17,15,16,13,2
18,16,14,15,8,4
19,15,13,14,4,4
20,14,12,13,9,7
21,13,11,12,9,7
22,12,10,11,6,9
23,11,9,10,9,16
24,10,8,9,9,16
25,9,7,8,6,12
26,8,6,7,6,12
27,7,5,6,6,12
28,6,4,5,3,12
29,5,3,4,5,10
30,4,2,3,5,15
31,3,1,2,8,15
32,2,0,1,8,12
