Bin,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1,34,32,33,9,0
2,33,31,32,9,0
3,32,30,31,9,0
4,31,29,30,8,0
5,30,28,29,7,0
6,29,27,28,7,0
7,28,26,27,6,0
8,27,25,26,6,0
9,26,24,25,4,0
10,25,23,24,7,0
11,24,22,23,7,0
12,23,21,22,3,0
13,22,20,21,8,1
14,21,19,20,8,1
15,20,18,19,12,1
16,19,17,18,12,1
17,18,16,17,14,4
18,17,15,16,19,4
19,16,14,15,19,4
20,15,13,14,11,5
21,14,12,13,11,5
22,13,11,12,11,3
23,12,10,11,11,6
24,11,9,10,9,7
25,10,8,9,8,13
26,9,7,8,9,13
27,8,6,7,9,13
28,7,5,6,5,11
29,6,4,5,6,8
30,5,3,4,7,7
31,4,2,3,7,12
32,3,1,2,6,12
33,2,0,1,5,11
