Bin,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1,37,35,36,13,1
2,36,34,35,13,1
3,34,32,33,12,1
4,33,31,32,12,2
5,32,30,31,10,2
6,31,29,30,10,2
7,30,28,29,7,8
8,29,27,28,7,8
9,28,26,27,6,0
10,27,25,26,8,7
11,26,24,25,8,7
12,23,21,22,9,3
13,22,20,21,9,3
14,21,19,20,9,2
15,20,18,19,9,3
16,19,17,18,9,3
17,18,16,17,13,12
18,17,15,16,13,12
19,16,14,15,16,11
20,15,13,14,16,11
21,14,12,13,9,7
22,13,11,12,13,7
23,12,10,11,13,7
24,11,9,10,9,11
25,10,8,9,9,11
26,9,7,8,8,9
27,8,6,7,6,10
28,7,5,6,6,10
29,6,4,5,5,8
30,4,2,3,4,5
31,3,1,2,4,7
32,2,0,1,2,7
